ts,distance
1614620970000,10.9976
1614620945000,-5.55385
1614620455000,5.57225
1614620435000,-2.75938
1614618105000,-8.4788
1614618070000,11.0212
1614617875000,-11.0338
1614617855000,2.74805
1614617045000,8.17569
1614617020000,-5.40906
1614616340000,5.55581
1614616310000,-5.54615
1614615815000,5.56455
1614615790000,-5.53986
1614614055000,5.59149
1614613290000,-10.8986
1614612830000,10.8453
1614612570000,-13.7845
1614612545000,2.77383
1614612375000,10.9937
1614612290000,-10.9456
1614612240000,10.907
1614612165000,-11.2328
1614611455000,11.1029
1614611410000,-13.8873
1614611365000,11.1798
1614611330000,-10.9939
1614610800000,13.7049
1614610760000,-13.7426
1614609740000,13.8995
1614608335000,-13.7264
1614608300000,8.31242
1614607695000,5.62473
1614607425000,-13.7742
1614607405000,2.8091
1614607375000,5.43789
1614607355000,2.7508
1614607320000,-10.9705
1614607035000,11.1619
1614606925000,2.79411
1614606845000,-2.74557
1614605915000,-10.9204
1614605800000,11.0717
1614605020000,-11.0535
1614604970000,13.9416
1614604935000,-11.0683
1614604915000,-2.78861
1614604835000,13.7993
1614604705000,-5.53948
1614604670000,-8.21929
1614604605000,2.79769
1614603940000,11.0111
1614603915000,-5.55206
1614603890000,5.58811
1614602930000,-10.9973
1614602835000,10.8408
1614602475000,-10.9769
1614602430000,11.0522
1614602335000,-10.9747
1614602300000,11.0828
1614602050000,-5.51097
1614602020000,5.54487
1614601265000,-5.52845
1614600955000,5.54799
1614600880000,-10.9298
1614600360000,10.9703
1614600325000,-10.9004
1614600150000,10.9961
1614600110000,-10.9993
1614599790000,11.0344
1614599270000,-10.8234
1614599235000,10.9734
1614598775000,-10.9312
1614598715000,11.0355
1614594530000,-2.74612
1614594305000,-2.79323
1614594110000,-2.73215
1614593990000,-2.748
1614593875000,-2.77089
1614593835000,13.8971
1614593590000,-2.72133
1614593295000,2.73133
1614593255000,-10.7453
1614593195000,10.8831
1614593155000,-13.8817
1614593115000,13.8343
1614593080000,-10.9789
1614592940000,-2.8019
1614592890000,2.77488
1614592870000,2.75306
1614592845000,2.74363
1614592825000,2.79452
1614592800000,2.7501
1614592185000,-13.8539
1614591625000,11.1177
1614591605000,2.74672
1614591545000,-8.12626
1614591455000,8.20368
1614589315000,-13.8109
1614589000000,13.7744
1614588970000,-8.23309
1614586745000,8.23306
1614586710000,-10.8389
1614582430000,10.9757
1614582180000,-5.6241
1614582155000,5.51957
1614582065000,-5.66016
1614582010000,5.55454
1614581780000,-8.21807
1614581750000,8.20913
1614581715000,-10.9889
1614581675000,11.0175
1614577340000,-5.48658
1614577315000,5.55752
1614575585000,-13.7423
1614575545000,13.7725
1614572545000,-8.22713
1614572515000,8.28142
1614561105000,-5.53988
1614561080000,-5.47724
1614551175000,11.0072
1614551070000,-10.9491
1614550695000,11.1137
1614550670000,-5.56137
1614543690000,5.5915
1614543640000,-10.9138
1614543605000,11.046
1614543570000,-10.8655
1614543350000,10.9416
1614542295000,-8.25587
1614542220000,2.7489
1614540930000,5.58198
1614540900000,-5.57443
1614538300000,5.59494
1614538270000,-5.52632
1614538130000,5.57602
1614536115000,-11.1079
1614536075000,5.51286
1614535560000,8.26812
1614535525000,-10.9383
1614534825000,5.491
1614534730000,5.51503
1614534695000,-8.26709
1614533605000,8.29618
1614533290000,-8.29188
1614533220000,8.31118
1614532665000,-11.065
1614532585000,5.45965
1614532185000,2.78133
1614532145000,-11.1053
1614532065000,11.1346
1614532035000,-2.81367
1614532010000,2.78059
1614531970000,-11.0771
1614531930000,13.8283
1614531430000,-11.0345
1614531370000,10.9458
1614531330000,-13.859
1614531295000,10.943
1614531015000,-11.1931
1614530985000,5.55534
1614530295000,8.27532
1614530270000,-5.58561
1614530150000,5.56313
1614529475000,-8.19739
1614529415000,8.19306
1614529295000,-8.31764
1614529200000,8.27952
1614527870000,-11.0335
1614527840000,2.74731
1614527800000,8.29418
1614527775000,-2.74625
1614527155000,-11.0809
1614526915000,13.9142
1614526580000,-10.9361
1614526515000,-2.75037
1614525720000,11.0716
1614525690000,-8.20074
1614525375000,10.5954
1614525335000,-10.9685
1614524975000,10.9519
1614524930000,-13.8928
1614524780000,13.9098
1614524750000,-5.48903
1614524335000,-8.27634
1614524300000,2.82969
1614524260000,8.27918
1614524195000,-2.77703
1614524170000,5.5666
1614523755000,-11.2131
1614523680000,5.47728
1614523275000,5.56445
1614523240000,-8.29382
1614523100000,8.12247
1614523060000,-13.9021
1614522655000,13.7935
1614522145000,-2.75564
1614522105000,-11.0776
1614521970000,11.0096
1614521945000,2.71403
1614521710000,-11.0005
1614521680000,8.36265
1614518820000,-5.46466
1614518785000,8.27289
1614518565000,-10.8943
1614518540000,5.48773
1614518200000,5.57605
1614517590000,-10.9781
1614517565000,-2.77084
1614516810000,11.1112
1614516775000,-11.1159
1614516050000,14.0205
1614516025000,-2.74336
1614515795000,-8.24716
1614515765000,5.44345
1614513590000,5.24604
1614513560000,-8.20321
1614513220000,8.29623
1614512710000,-5.64688
1614512685000,5.57125
1614512310000,-5.54366
1614512230000,2.8235
1614511555000,-10.9481
1614510275000,13.8838
1614509595000,-13.9588
1614509555000,13.9593
1614508800000,-13.8829
1614508750000,13.8964
1614508695000,-8.14692
1614508610000,8.24565
1614508460000,-5.50216
1614508430000,5.57465
1614508365000,-8.33468
1614508340000,-5.53607
1614507575000,13.9126
1614507545000,-7.99684
1614503945000,8.23213
1614501145000,-5.53519
1614500600000,5.62406
1614499355000,-13.7433
1614499330000,2.80795
1614488265000,10.9986
1614487705000,-8.26869
1614487625000,8.25941
1614485145000,-5.33085
1614471920000,5.63835
1614471890000,-5.58709
1614465835000,5.5566
1614465810000,-5.5232
1614465735000,5.57089
1614465710000,-5.61354
1614463915000,5.55072
1614463880000,-10.9281
1614462045000,8.19481
1614462025000,2.74948
1614462005000,-2.66625
1614461970000,-8.23291
1614461860000,10.9346
1614461830000,-8.13639
1614459285000,8.27636
1614456305000,-13.6553
1614456275000,8.4236
1614455410000,5.60116
1614455370000,-13.8275
1614453615000,13.8433
1614453575000,-13.7783
1614453095000,11.1076
1614453045000,2.75272
1614451865000,-8.27635
1614450950000,8.27219
1614447995000,-13.7131
1614447895000,5.58974
1614447865000,8.38007
1614447835000,-8.28764
1614445645000,5.52992
1614445605000,2.78
1614445025000,-2.77459
1614444865000,-8.18363
1614444815000,10.9773
1614444735000,-5.58844
1614444545000,5.5361
1614444480000,-5.55959
1614444450000,5.59358
1614442875000,-10.9894
1614442750000,11.0546
1614442725000,-2.74649
1614441595000,-8.2003
1614441570000,-2.79011
1614440650000,13.8743
1614440630000,-2.73779
1614440595000,-11.0402
1614440550000,13.7767
1614440415000,-10.8423
1614440280000,11.0562
1614440245000,-10.8935
1614439510000,11.0211
1614439475000,-8.33836
1614436925000,5.55897
1614436890000,2.71882
1614436850000,-13.8125
1614436125000,13.7991
1614436085000,-13.9132
1614435970000,11.1105
1614435950000,2.79211
1614434205000,-13.836
1614434170000,11.1315
1614433295000,2.76738
1614432825000,-11.1844
1614432790000,8.28215
1614432705000,2.69097
1614432385000,-5.5618
1614432330000,5.58985
1614432305000,-5.62108
1614432275000,5.58932
1614430610000,-10.7528
1614430585000,5.48204
1614430550000,5.57153
1614430430000,-13.7666
1614430370000,11.0646
1614430265000,2.71599
1614430225000,-13.8031
1614430165000,13.6707
1614429535000,-8.10732
1614429505000,8.3076
1614429135000,-11.0304
1614429060000,11.0104
